Orders Order Number,Orders Shipping Zipcode,Orders Shipping State,Orders Received Date,Orders Line Items Count,Orders Total Weight,Orders Cart Value
11815,01020,MA,2019-06-30,1,0,$39.00
12168,01568,MA,2019-07-25,1,0,$54.40
12079,01568,MA,2019-07-17,4,317,$84.20
11862,01778,MA,2019-07-04,2,249,$28.00
11960,02035,MA,2019-07-09,2,90,$80.00
12155,02062,MA,2019-07-24,2,906,$56.00
11963,02116,MA,2019-07-09,2,543,$66.00
11831,02116,MA,2019-07-02,4,317,$140.80
12073,02130,MA,2019-07-15,3,679,$83.30
11898,02144,MA,2019-07-05,1,0,$40.00
12014,02356,MA,2019-07-12,1,0,$57.80
12200,02655,MA,2019-07-28,1,0,$57.80
12064,02720,MA,2019-07-15,1,453,$44.20
12190,02830,RI,2019-07-26,2,907,$90.00
12026,03077,NH,2019-07-13,2,0,$54.40
12105,03104,NH,2019-07-19,6,"1,200",$150.40
12183,03820,NH,2019-07-26,2,544,$68.00
12131,04102,ME,2019-07-22,5,996,$140.40
12175,06062,CT,2019-07-25,3,544,$102.40
12102,06111,CT,2019-07-19,4,702,$94.00
12154,06460,CT,2019-07-24,2,181,$43.20
12005,06512,CT,2019-07-12,2,203,$52.00
12024,06516,CT,2019-07-13,4,589,$132.80
12094,06708,CT,2019-07-18,2,203,$47.00
11843,06801,CT,2019-07-02,1,453,$41.60
11885,06807,CT,2019-07-04,1,90,$54.40
12001,06831,CT,2019-07-11,3,543,$102.40
11930,06840,CT,2019-07-07,2,90,$63.20
12159,06907,CT,2019-07-24,1,90,$30.20
11883,07013,NJ,2019-07-04,2,90,$58.00
12115,07042,NJ,2019-07-20,1,0,$72.51
12049,07057,NJ,2019-07-14,1,0,$29.22
12196,07728,NJ,2019-07-28,1,453,$45.85
12118,07747,NJ,2019-07-20,3,679,$83.17
11962,07834,NJ,2019-07-09,5,680,$153.01
12188,08109,NJ,2019-07-26,3,"1,020",$85.19
11951,08820,NJ,2019-07-08,1,0,$35.19
12117,08844,NJ,2019-07-20,6,"1,223",$155.25
12068,10003,NY,2019-07-15,2,226,$52.26
12076,10003,NY,2019-07-16,1,453,$56.62
11969,10012,NY,2019-07-10,1,0,$48.55
11865,10022,NY,2019-07-04,1,90,$148.07
11899,10024,NY,2019-07-05,2,90,$60.32
11799,10025,NY,2019-06-30,2,566,$53.56
11827,10025,NY,2019-07-01,2,906,$70.33
11916,10026,NY,2019-07-06,1,0,$37.02
12112,10033,NY,2019-07-19,1,90,$51.82
12087,10038,NY,2019-07-17,1,0,$52.26
12050,10306,NY,2019-07-14,1,453,$34.61
11918,10514,NY,2019-07-06,6,"1,993",$355.95
12173,11101,NY,2019-07-25,2,227,$80.57
12104,11101,NY,2019-07-19,2,113,$57.70
11893,11106,NY,2019-07-05,1,0,$43.55
12089,11106,NY,2019-07-17,2,906,$77.74
11870,11201,NY,2019-07-04,1,90,$45.73
11795,11210,NY,2019-06-29,2,543,$64.67
12069,11210,NY,2019-07-15,5,"1,449",$193.80
12047,11225,NY,2019-07-14,3,453,$88.19
12147,11233,NY,2019-07-23,3,227,$87.00
11828,11237,NY,2019-07-01,4,"1,449",$142.84
11964,11249,NY,2019-07-09,1,453,$38.55
12090,11572,NY,2019-07-17,1,113,$16.29
12106,11581,NY,2019-07-19,2,0,$107.10
12066,11721,NY,2019-07-15,4,747,$85.38
11942,11771,NY,2019-07-08,2,67,$54.97
11836,11963,NY,2019-07-02,1,0,$42.36
12134,12018,NY,2019-07-22,1,453,$47.74
12032,12118,NY,2019-07-13,2,453,$55.64
11929,12302,NY,2019-07-07,2,543,$69.12
12116,12866,NY,2019-07-20,1,90,$44.94
11846,13421,NY,2019-07-03,2,90,$62.42
12170,13470,NY,2019-07-25,2,544,$42.34
